timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1616099575014,21097,Login User,200,,Load Testing 1-899,text,true,,261,223,947,947,http://localhost:8082/users/login,21097,0,0
1616099573990,22152,User Controller,200,,Load Testing 1-746,,true,,598,463,946,946,null,0,0,0
1616099573992,439,Create User (signup),201,,Load Testing 1-746,text,true,,337,240,918,918,http://localhost:8082/users/create,439,0,0
1616099575014,21128,Login User,200,,Load Testing 1-746,text,true,,261,223,946,946,http://localhost:8082/users/login,21128,0,0
1616099574008,22163,User Controller,200,,Load Testing 1-44,,true,,598,463,945,945,null,0,0,0
1616099574013,419,Create User (signup),201,,Load Testing 1-44,text,true,,337,240,918,918,http://localhost:8082/users/create,419,0,1
1616099575015,21156,Login User,200,,Load Testing 1-44,text,true,,261,223,945,945,http://localhost:8082/users/login,21156,0,0
1616099574670,21543,User Controller,200,,Load Testing 1-984,,true,,598,463,944,944,null,0,0,0
1616099574671,32,Create User (signup),201,,Load Testing 1-984,text,true,,337,240,1000,1000,http://localhost:8082/users/create,31,0,1
1616099575015,21198,Login User,200,,Load Testing 1-984,text,true,,261,223,944,944,http://localhost:8082/users/login,21198,0,0
1616099573729,22566,User Controller,200,,Load Testing 1-336,,true,,597,463,943,943,null,0,0,0
1616099573735,802,Create User (signup),201,,Load Testing 1-336,text,true,,336,240,967,967,http://localhost:8082/users/create,802,0,80
1616099575015,21280,Login User,200,,Load Testing 1-336,text,true,,261,223,943,943,http://localhost:8082/users/login,21280,0,0
1616099574006,22292,User Controller,200,,Load Testing 1-49,,true,,598,463,942,942,null,0,0,0
1616099574007,425,Create User (signup),201,,Load Testing 1-49,text,true,,337,240,918,918,http://localhost:8082/users/create,425,0,1
1616099575015,21283,Login User,200,,Load Testing 1-49,text,true,,261,223,942,942,http://localhost:8082/users/login,21283,0,0
1616099574179,22142,User Controller,200,,Load Testing 1-840,,true,,598,463,941,941,null,0,0,0
1616099574180,355,Create User (signup),201,,Load Testing 1-840,text,true,,337,240,965,965,http://localhost:8082/users/create,355,0,2
1616099575015,21306,Login User,200,,Load Testing 1-840,text,true,,261,223,941,941,http://localhost:8082/users/login,21306,0,0
1616099574056,22269,User Controller,200,,Load Testing 1-24,,true,,598,463,940,940,null,0,0,0
1616099574056,427,Create User (signup),201,,Load Testing 1-24,text,true,,337,240,948,948,http://localhost:8082/users/create,427,0,1
